CTRL,NON,CONS,LV,FV1,FV2,FV3,BV1,BV2,BD,TONE,AD1,AD2,AD3,AV1,AV2,AV3
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,A,A,S,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,S,A,A,A,A,A,A,A,A,A,A,A,A,A
A,S,A,S,A,A,S,A,S,S,A,S,S,S,S,S,S
A,S,S,S,S,S,A,S,S,S,A,S,S,S,S,S,S
A,A,A,S,A,A,S,A,A,A,A,A,A,A,A,A,A
R,R,C,R,R,R,R,R,R,R,R,R,R,R,R,R,R
R,R,C,R,R,R,R,R,R,R,R,R,R,R,R,R,R
R,R,C,R,R,R,R,R,R,R,R,R,R,R,R,R,R
R,R,C,R,R,R,R,C,C,R,R,R,R,R,C,C,C
R,R,C,R,R,R,R,C,R,R,R,R,R,R,C,R,R
R,R,C,R,R,R,R,R,R,R,R,R,R,R,R,R,C
R,R,C,R,R,R,R,R,R,R,R,R,R,R,R,R,R
R,R,C,R,R,R,R,R,R,R,R,R,R,R,R,R,R
R,R,C,R,R,R,R,R,R,R,R,R,R,R,R,R,R
R,R,C,R,R,R,R,R,R,R,R,R,R,R,R,R,R
